"","temp","degree_centralization","betweenness_centralization","closeness_centralization","eigenvector_centralization","global_clustcoeff","assortativity","diameter","avg_degree","modularity","density","avg_path_length","vertices","edges"
"1","T1-nw",0.291694892291017,0.146383981173005,0.165207203591589,0.765318917925681,0.366634840725631,-0.104887297556137,8,9.70491803278689,0.187042035701242,0.0802059341552635,2.53140495867769,122,592
"2","T10-nw",0.292176039119804,0.0829404212963733,0.0359821650798147,0.837942882913503,0.372880467267179,-0.225064587789568,9,16.7921760391198,0.202666837737938,0.0411572942135289,2.55376073310649,409,3434
"3","T11-nw",0.297741460102992,0.091994711913985,0.0357483904648204,0.856895525901472,0.346807143463343,-0.226971071647215,11,16.8089430894309,0.209802713439553,0.0342340999784743,2.57236653090196,492,4135
"4","T12-nw",0.294912448645846,0.0905508377688586,0.0229245305438591,0.862847144018248,0.338746813049586,-0.233815721025045,11,17.3879781420765,0.211262466184776,0.0317298871205776,2.59113169454069,549,4773
"5","T13-nw",0.306354228233031,0.0830658160127399,0.0284408930529843,0.86553679515222,0.333080824715104,-0.236922083569834,12,18.1700680272109,0.18127371573234,0.0309541192967817,2.58547246143655,588,5342
"6","T14-nw",0.294408005950369,0.0768894388169128,0.0279141710201546,0.868555303851394,0.324249901985655,-0.238409353448431,12,18.695652173913,0.194301677133806,0.0290756643451214,2.58096297316982,644,6020
"7","T15-nw",0.275418215251319,0.0775929930573296,0.0186776716075234,0.874268817177908,0.313931159671593,-0.228050122742255,12,18.8005578800558,0.183165113279152,0.0262577624023126,2.60317466641699,717,6740
"8","T16-nw",0.267323239450818,0.0780029739142743,0.0121602525211764,0.878134744949165,0.309178352381724,-0.20997765039668,13,18.8937823834197,0.194945240218306,0.0245055543235015,2.64122815814317,772,7293
"9","T17-nw",0.262917625455157,0.0792986346610572,0.0189908876478699,0.883812646392847,0.300650941006035,-0.199832866900987,13,18.9379474940334,0.20480746805031,0.0226259826690961,2.67305070705015,838,7935
"10","T18-nw",0.263275825041163,0.0855465419959834,0.00873453460163831,0.890011070069674,0.293668073761386,-0.191444369911983,14,19.1026200873362,0.210398063748148,0.0208771804233183,2.68374463519313,916,8749
"11","T19-nw",0.261267738959851,0.0840603579350312,0.00789513496177684,0.89483628574139,0.29000754546326,-0.184070345966009,14,19.777331995988,0.199726700282689,0.0198567590321164,2.698618562009,997,9859
"12","T2-nw",0.325059753631182,0.0983060954354116,0.103586806566653,0.777653877696808,0.39734395750332,-0.105048357119441,8,12.2162162162162,0.183959320424465,0.0831035116749402,2.43939537080775,148,904
"13","T20-nw",0.255699500293422,0.0823618157101049,0.00860111543623727,0.898657004037176,0.285704834577066,-0.182219386099733,13,19.9585296889727,0.217388116170034,0.0188288015933704,2.71317720451001,1061,10588
"14","T21-nw",0.246790188414899,0.0803839038577298,0.0106175341228332,0.901956022423698,0.280353491652093,-0.178922753940149,15,20.1527655838455,0.222522652314489,0.0177089328504793,2.72754380600849,1139,11477
"15","T22-nw",0.241031484651115,0.0789128490294838,0.00843626915385994,0.905400398270778,0.275742965131581,-0.175997565424806,13,20.4595257563369,0.254252319025519,0.0167426561017487,2.73148169703809,1223,12511
"16","T23-nw",0.237070728439461,0.0783200313998852,0.0069038898316564,0.908961662949073,0.274051691577187,-0.173761302697447,14,20.8597701149425,0.25181304102912,0.0159967562231154,2.73908376770985,1305,13611
"17","T24-nw",0.234644932791037,0.0752803490961136,0.00683115843849896,0.91120882938825,0.272430547855052,-0.169930782456515,14,21.4246376811594,0.267044718894375,0.0155363579993904,2.74863565509533,1380,14783
"18","T25-nw",0.236395583185923,0.076060009554383,0.00824201305652318,0.913298395004354,0.270211862847651,-0.169019132274184,14,21.7536132140399,0.251307013189474,0.0149818272823966,2.75815886074604,1453,15804
"19","T26-nw",0.235678282695119,0.0751778494576996,0.00570891397634154,0.915285873245168,0.267309466524358,-0.173389999253634,14,21.8835840418574,0.247104522837128,0.0143217173048805,2.76234171278903,1529,16730
"20","T27-nw",0.231635034595263,0.0726237699559106,0.00615462852214952,0.917255655418601,0.263578440159117,-0.17107812824782,15,22.1523096129838,0.272707078088246,0.0138365456670729,2.77484723031002,1602,17744
"21","T28-nw",0.230827796852009,0.0723308293288698,0.00611654746839036,0.917854030000359,0.261735417373842,-0.170843075826959,14,22.4424131627057,0.285540141343666,0.0136843982699425,2.77353045845705,1641,18414
"22","T29-nw",0.225935717649971,0.0698639907431238,0.00479752476074853,0.918608541545057,0.259727167589285,-0.170178106075761,14,22.7796014067995,0.289041639512641,0.0133604700333135,2.77400074342324,1706,19431
"23","T3-nw",0.34012987012987,0.113495514613991,0.390779614080321,0.781892361979632,0.405037534028102,-0.162934006113836,8,13.4772727272727,0.174688041200174,0.077012987012987,2.44720779220779,176,1186
"24","T30-nw",0.220705448901955,0.0657024820828613,0.00443087211134319,0.920430287927651,0.257430043062504,-0.171749246457614,15,23.1443009545199,0.293191254792867,0.0130024162665842,2.77944223251703,1781,20610
"25","T31-nw",0.220307567500838,0.0648617861694842,0.0040996890811223,0.920964147874704,0.255634434877509,-0.172747343243022,15,23.7528455284553,0.273723259812123,0.0128811526726981,2.77663097605064,1845,21912
"26","T32-nw",0.22395286403016,0.0634356188732512,0.00358760107120912,0.923345978171219,0.251862213326238,-0.180528954516329,15,24.203302373581,0.256406290801054,0.012495251612587,2.77414075822808,1938,23453
"27","T33-nw",0.226142178910545,0.0612517025071839,0.0031781328884738,0.924174921245832,0.247458352548278,-0.188314786248867,15,24.7156421789105,0.308372700938984,0.0123578210894553,2.76217728589266,2001,24728
"28","T34-nw",0.240306747723535,0.0703636618010315,0.00300494891927405,0.924922129496249,0.242097634173397,-0.194315436015885,15,25.0844187168355,0.303522306952659,0.0121063796895924,2.74781839318253,2073,26000
"29","T35-nw",0.268303303929466,0.0865691460063419,0.0025575557952967,0.925785927327597,0.23906921456157,-0.196395517295377,15,25.4407494145199,0.292503561121552,0.01192162578,2.7396501831982,2135,27158
"30","T36-nw",0.294707491018285,0.106056261647244,0.00257250419392739,0.927185417115796,0.236158174765022,-0.199413054766255,16,25.7064721969006,0.284010799255567,0.0117220575453263,2.72937702211739,2194,28200
"31","T37-nw",0.324097177712133,0.122740764254151,0.00223164056883532,0.929964460742136,0.231771083778592,-0.202242604955717,14,26.133155792277,0.258800894479866,0.0116044208669081,2.71094927917906,2253,29439
"32","T38-nw",0.334330511745703,0.131561331847105,0.00210212830214803,0.932997238586117,0.229648274506602,-0.197067269742378,14,26.3203058623619,0.261575697401803,0.0111858503452452,2.74319068178159,2354,30979
"33","T39-nw",0.349878407781902,0.141691390705235,0.00216691044181668,0.934303142386632,0.228753305765659,-0.197134307834742,14,26.8923076923077,0.258930199418439,0.0111864840650198,2.72869805914442,2405,32338
"34","T4-nw",0.339680352714246,0.136343332506202,0.100006845056455,0.77853866930503,0.410122237993348,-0.182888860232795,12,14.4607329842932,0.17387388898997,0.0761091209699642,2.40217268940673,191,1381
"35","T40-nw",0.360059424977136,0.149643230111285,0.00232562596394717,0.934984243248565,0.228307310306688,-0.196906984988805,14,27.2946465059256,0.253271129948749,0.0111588906401985,2.72253364943014,2447,33395
"36","T41-nw",0.375234961879067,0.164018102034636,0.00232853334401513,0.936058111700326,0.227206970337434,-0.197064737087168,15,27.6630652260904,0.258772591567002,0.0110740853587232,2.71085004647861,2499,34565
"37","T42-nw",0.391509543304394,0.178906057945197,0.00241724694135517,0.937365662018378,0.225522285172435,-0.196695201515546,15,28.0799069045772,0.246690853012363,0.0108963550269993,2.70290905125692,2578,36195
"38","T43-nw",0.410447578821593,0.194498358459597,0.00208173849645442,0.93822996064987,0.224277503988609,-0.195417442261873,15,28.6497346474602,0.246960519362335,0.0108645182584225,2.68522116191371,2638,37789
"39","T44-nw",0.423180491635342,0.204280568572168,0.00231567714602776,0.93893200573903,0.22341098956508,-0.194467619939735,15,29.0676579925651,0.23290996396555,0.0108098393427166,2.67683001020182,2690,39096
"40","T45-nw",0.432682826813056,0.209825151395141,0.00222091051408338,0.939434191806946,0.223370626780541,-0.194742069656142,16,29.5549090909091,0.215287367700782,0.0107511491782136,2.66908542728844,2750,40638
"41","T46-nw",0.440765104116242,0.21763955744752,0.00230067755495885,0.940256283925111,0.222134970001309,-0.194147525949859,20,29.8054668086617,0.206401605414547,0.0105843277019395,2.66694220896405,2817,41981
"42","T47-nw",0.451850690425722,0.225394930743656,0.00198032904187999,0.941112168542438,0.219926369669226,-0.194149321258564,17,30.1515046696645,0.208452138161458,0.0104330465984998,2.65833099620266,2891,43584
"43","T48-nw",0.466352066604371,0.235500200188176,0.0022831305244687,0.942063537087697,0.216999243661245,-0.194297720197958,16,30.5353059852051,0.222857743250694,0.0102708731870855,2.64966712041276,2974,45406
"44","T49-nw",0.474045458075506,0.241049291932727,0.00202800913344061,0.943024071694287,0.21512920909074,-0.192780450025199,16,30.8430346631785,0.212465125353386,0.0100893145774218,2.64561827787863,3058,47159
"45","T5-nw",0.355393411845025,0.125070603502601,0.177707745269787,0.791416466290501,0.406676924511587,-0.231048749783223,10,15.2350230414747,0.122135814953033,0.0705325140809012,2.39457364341085,217,1653
"46","T50-nw",0.48075608812365,0.248195292810484,0.00226864990092051,0.943342761350952,0.214198875153963,-0.192439535799597,16,31.1753707285622,0.215244066504518,0.0100533281936673,2.64029575034236,3102,48353
"47","T6-nw",0.360756931795183,0.133220677902765,0.178036187493847,0.794349609763703,0.403453417010506,-0.243311679491138,8,16.3360655737705,0.152431780171896,0.067226607299467,2.3739414345475,244,1993
"48","T7-nw",0.345057034220532,0.118551170807028,0.0992700228182954,0.794332051279118,0.409518502427322,-0.234007794771329,8,17.25,0.178976856842469,0.0655893536121673,2.38673920037437,264,2277
"49","T8-nw",0.327340273785953,0.112660859302717,0.0658570504603347,0.807013582687927,0.396622792636657,-0.246908117908845,8,16.8338762214984,0.148131377061987,0.0550126673905176,2.43568698975161,307,2584
"50","T9-nw",0.316120963058918,0.0994650741542833,0.0476531397993536,0.827964494631601,0.382205466540999,-0.25124196805563,10,16.299727520436,0.181375397785913,0.0445347746459999,2.57921892122245,367,2991
