"","degree.AF8.centralization","betweenness.AF8.centralization","closeness.AF8.centralization","eigenvector.AF8.centralization","global.AF8.clustcoeff","assortativity","diameter","avg.degree","modularity","density","avg.path.length","vertices","edges","noofreviews.commentedon","no.of.comments","no.of.approvals","avgnoofcomments.perperson","avgnoofapprovals.perperson","avgclosuretime.perreview","noncumul.noofreviews.commentedon","noncumul.avgclosuretime.perreview","noncumul.totalclosuretime.acrossallreviews"
"degree.AF8.centralization",1,0.962789621675061,0.0913159538287078,0.100466648565639,-0.177596899203212,-0.210386871647262,0.167121882049163,0.467708687642466,-0.371291951705943,0.0266402054385969,-0.349595553026722,0.448222392886224,0.569944980796265,0.546961274137406,0.618930636475571,0.580618483297314,0.49965121735845,0.412006072746826,-0.358494368753853,0.368682936515634,-0.170394255080212,-0.384546797731936
"betweenness.AF8.centralization",0.962789621675061,1,-0.013137676758066,0.240676019795507,-0.342139860807492,-0.038704073642891,0.321832263844233,0.576961371603184,-0.216396810616858,-0.104295052919421,-0.173554629456264,0.584972618935579,0.692558062432488,0.672146718737689,0.736103003555033,0.702242129278564,0.591490048744846,0.503236163005438,-0.496139481411746,0.493543458432347,-0.316590124367706,-0.519439893523707
"closeness.AF8.centralization",0.0913159538287078,-0.013137676758066,1,-0.778742440209369,0.714726092345164,0.0727262319677345,-0.697588133118429,-0.619981483781754,-0.573203708636672,0.828724295706825,-0.725486344560395,-0.581850594993114,-0.514366332520267,-0.5380065957969,-0.493930615900346,-0.5157364826221,-0.653505508169535,-0.698133623812573,0.64188958003506,-0.601535216202959,0.693495638984674,0.40710181795011
"eigenvector.AF8.centralization",0.100466648565639,0.240676019795507,-0.778742440209369,1,-0.975938276376704,0.0795269806977485,0.911309081871886,0.904150355016578,0.735044513243168,-0.980192520604712,0.870522057157252,0.894735674306982,0.830939848582886,0.850002317488269,0.804629315574119,0.828801737585593,0.891498067830284,0.92172783491059,-0.936074681164864,0.871682827680005,-0.964693610610686,-0.726787374176974
"global.AF8.clustcoeff",-0.177596899203212,-0.342139860807492,0.714726092345164,-0.975938276376704,1,-0.212668836634382,-0.912242652235546,-0.918130321382891,-0.732119044506076,0.925979574915413,-0.84260945612175,-0.939819328558067,-0.888237572255475,-0.901646080974487,-0.862803834998931,-0.884550000657704,-0.882922006395506,-0.89694434464992,0.964035653707954,-0.885173927431233,0.974013779913928,0.816244494415519
"assortativity",-0.210386871647262,-0.038704073642891,0.0727262319677345,0.0795269806977485,-0.212668836634382,1,0.160164660141384,-0.0183708737450652,0.357631149780402,0.00776387955949003,0.311855108762766,0.13791095099968,0.108171004077752,0.104777773306343,0.0907421709607498,0.100794796997831,-0.130035383568402,-0.152365036939232,-0.11196623420938,0.094772348166267,-0.130678915109965,-0.228260021600405
"diameter",0.167121882049163,0.321832263844233,-0.697588133118429,0.911309081871886,-0.912242652235546,0.160164660141384,1,0.859859657303085,0.616701676521177,-0.870376684914606,0.767112403027664,0.861922126688369,0.816037448985147,0.831734186976757,0.799702715174318,0.816470510182946,0.841126167105322,0.854455284668807,-0.884769674979492,0.821677918284371,-0.893678187660252,-0.733748679730429
"avg.degree",0.467708687642466,0.576961371603184,-0.619981483781754,0.904150355016578,-0.918130321382891,-0.0183708737450652,0.859859657303085,1,0.54771177606716,-0.825001490475884,0.608844761672728,0.983359371268083,0.973687520936958,0.97964437721937,0.964173557373722,0.973243546750713,0.984743004709225,0.979135543972415,-0.983845297349577,0.910551704387855,-0.943511909270124,-0.860666755176565
"modularity",-0.371291951705943,-0.216396810616858,-0.573203708636672,0.735044513243168,-0.732119044506076,0.357631149780402,0.616701676521177,0.54771177606716,1,-0.72611167104419,0.869834282452205,0.598542135275877,0.491908804174355,0.509172913347366,0.433052641869963,0.476742838913868,0.465672945708702,0.522318973575736,-0.658537645944627,0.551431154343938,-0.770557192478256,-0.60930571075934
"density",0.0266402054385969,-0.104295052919421,0.828724295706825,-0.980192520604712,0.925979574915413,0.00776387955949003,-0.870376684914606,-0.825001490475884,-0.72611167104419,1,-0.897058368353888,-0.798700625956986,-0.721124106496544,-0.745400773005014,-0.693263574690998,-0.720119907213423,-0.832535281902806,-0.877435239495795,0.857248348463316,-0.801492541962208,0.908813971018478,0.604712755362062
"avg.path.length",-0.349595553026722,-0.173554629456264,-0.725486344560395,0.870522057157252,-0.84260945612175,0.311855108762766,0.767112403027664,0.608844761672728,0.869834282452205,-0.897058368353888,1,0.641644370658745,0.529993877731165,0.555857869096956,0.483290262251322,0.52240163421668,0.570645762178386,0.628250589133812,-0.711340664563294,0.649898239864723,-0.814480149081032,-0.530217530555833
"vertices",0.448222392886224,0.584972618935579,-0.581850594993114,0.894735674306982,-0.939819328558067,0.13791095099968,0.861922126688369,0.983359371268083,0.598542135275877,-0.798700625956986,0.641644370658745,1,0.989097406154066,0.992681507865708,0.976301189329826,0.986638932538855,0.94688104242634,0.934242756183239,-0.992791618230881,0.910571254821015,-0.951966494727468,-0.911159770155896
"edges",0.569944980796265,0.692558062432488,-0.514366332520267,0.830939848582886,-0.888237572255475,0.108171004077752,0.816037448985147,0.973687520936958,0.491908804174355,-0.721124106496544,0.529993877731165,0.989097406154066,1,0.9992756908202,0.996849050060421,0.999605106039846,0.94472164005074,0.917340924422043,-0.966252403173067,0.889528459582565,-0.897983725146502,-0.902168042205664
"noofreviews.commentedon",0.546961274137406,0.672146718737689,-0.5380065957969,0.850002317488269,-0.901646080974487,0.104777773306343,0.831734186976757,0.97964437721937,0.509172913347366,-0.745400773005014,0.555857869096956,0.992681507865708,0.9992756908202,1,0.995165308321357,0.999039438019451,0.952778240022996,0.92867046151698,-0.973636181421904,0.8982782601596,-0.910496026567028,-0.897818838315142
"no.of.comments",0.618930636475571,0.736103003555033,-0.493930615900346,0.804629315574119,-0.862803834998931,0.0907421709607498,0.799702715174318,0.964173557373722,0.433052641869963,-0.693263574690998,0.483290262251322,0.976301189329826,0.996849050060421,0.995165308321357,1,0.998432149297071,0.944351441989293,0.910591012563717,-0.947064228607358,0.876718769878722,-0.866400988014119,-0.876997079249435
"no.of.approvals",0.580618483297314,0.702242129278564,-0.5157364826221,0.828801737585593,-0.884550000657704,0.100794796997831,0.816470510182946,0.973243546750713,0.476742838913868,-0.720119907213423,0.52240163421668,0.986638932538855,0.999605106039846,0.999039438019451,0.998432149297071,1,0.948357233541741,0.919748752290584,-0.962775701307873,0.889055353530952,-0.891623631854583,-0.892261912570555
"avgnoofcomments.perperson",0.49965121735845,0.591490048744846,-0.653505508169535,0.891498067830284,-0.882922006395506,-0.130035383568402,0.841126167105322,0.984743004709225,0.465672945708702,-0.832535281902806,0.570645762178386,0.94688104242634,0.94472164005074,0.952778240022996,0.944351441989293,0.948357233541741,1,0.993767431811899,-0.948758802406605,0.892017612904818,-0.899438085755378,-0.776481626212973
"avgnoofapprovals.perperson",0.412006072746826,0.503236163005438,-0.698133623812573,0.92172783491059,-0.89694434464992,-0.152365036939232,0.854455284668807,0.979135543972415,0.522318973575736,-0.877435239495795,0.628250589133812,0.934242756183239,0.917340924422043,0.92867046151698,0.910591012563717,0.919748752290584,0.993767431811899,1,-0.949168255676398,0.891252465125294,-0.920123494977959,-0.759466317724973
"avgclosuretime.perreview",-0.358494368753853,-0.496139481411746,0.64188958003506,-0.936074681164864,0.964035653707954,-0.11196623420938,-0.884769674979492,-0.983845297349577,-0.658537645944627,0.857248348463316,-0.711340664563294,-0.992791618230881,-0.966252403173067,-0.973636181421904,-0.947064228607358,-0.962775701307873,-0.948758802406605,-0.949168255676398,1,-0.918164739338142,0.97990732112049,0.894845822919962
"noncumul.noofreviews.commentedon",0.368682936515634,0.493543458432347,-0.601535216202959,0.871682827680005,-0.885173927431233,0.094772348166267,0.821677918284371,0.910551704387855,0.551431154343938,-0.801492541962208,0.649898239864723,0.910571254821015,0.889528459582565,0.8982782601596,0.876718769878722,0.889055353530952,0.892017612904818,0.891252465125294,-0.918164739338142,1,-0.889072492874751,-0.748469475983449
"noncumul.avgclosuretime.perreview",-0.170394255080212,-0.316590124367706,0.693495638984674,-0.964693610610686,0.974013779913928,-0.130678915109965,-0.893678187660252,-0.943511909270124,-0.770557192478256,0.908813971018478,-0.814480149081032,-0.951966494727468,-0.897983725146502,-0.910496026567028,-0.866400988014119,-0.891623631854583,-0.899438085755378,-0.920123494977959,0.97990732112049,-0.889072492874751,1,0.866730404126306
"noncumul.totalclosuretime.acrossallreviews",-0.384546797731936,-0.519439893523707,0.40710181795011,-0.726787374176974,0.816244494415519,-0.228260021600405,-0.733748679730429,-0.860666755176565,-0.60930571075934,0.604712755362062,-0.530217530555833,-0.911159770155896,-0.902168042205664,-0.897818838315142,-0.876997079249435,-0.892261912570555,-0.776481626212973,-0.759466317724973,0.894845822919962,-0.748469475983449,0.866730404126306,1
